PRODUCT_INFO_ID,GROUP_PRODUCT_NAME,PRODUCT_CODE,PRODUCT_NAME,SHORT_DESCRIPTION,PRODUCT_INFO,LINK_SP,NON_VAT_PRICE_1,VAT_PRICE_1,COMMISSION_1,THRESHOLD_1,NON_VAT_PRICE_2,VAT_PRICE_2,COMMISSION_2,THRESHOLD_2,NON_VAT_PRICE_3,VAT_PRICE_3,COMMISSION_3,COMMISSION_4,COMMISSION_5,NON_VAT_PRICE_4,VAT_PRICE_4,COMMISSION_6
606015,Bếp từ,M&EGD000195,Bộ nồi Inox sơn đỏ (3 cái/Bộ)-AIO Smart,"Bộ nồi Inox AIO Smart thiết kế sang trọng, chất liệu an toàn sức khỏe, với 3 kích thước nồi khác nhau hỗ trợ người dùng nấu đa dạng món ăn, xứng đáng có mặt trong mọi căn bếp gia đình.","Bộ nồi Inox AIO Smart thiết kế sang trọng, chất liệu an toàn sức khỏe, với 3 kích thước nồi khác nhau hỗ trợ người dùng nấu đa dạng món ăn, xứng đáng có mặt trong mọi căn bếp gia đình.",/opt/Upload/KCS//input/mobile_images/2024/3/11/6/BỘ ĐÈN NĂNG LƯỢNG MẶT TRỜI SUNTEK S500 PLUS1.png,664200,730620.0000000001,19926," 
         


Giá trị đơn hàng > 30 triệu",737100,810810.0000000001,58968," 
 	


Giá trị đơn hàng  từ 15 - 30 triệu",945000.0,1039500.0,120960.0,22680.0,7560.0,664200,730620.0000000001,66420
509333,Bếp từ,M&EBT100006,Bếp Từ Bluestone Icb-6619,"Bếp từ cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","-Kích thước mặt bếp: 345x270 mm
-Mặt bếp bằng Ceramic cao cấp loại A, chịu nhiệt và chịu lực cao.
-Bộ điều khiển cảm ứng dễ dàng sử dụng.
-Trang bị chức năng hẹn giờ tiện dụng, An toàn với chức năng khóa trẻ em",/opt/Upload/KCS//input/mobile_images/2023/12/25/687/Bếp-Từ-Bluestone-Icb-6619.jpg,1296600,1426260.0,12966,Giá trị đơn hàng > 30 triệu,1325000,1457500.0,26500,Giá trị đơn hàng từ 15-30 triệu,1437300.0,1581030.0,80488.80000000002,15091.65,5030.550000000001,1296600,1426260.0,12966
509331,Bếp từ,M&EBT100004,Bếp Từ Bluestone Icb-6609,"Bếp từ cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Bếp từ BlueStone thiết kế gọn đẹp với mẫu bếp đơn sang trọng, tiết kiệm không gian dùng
Mặt bếp sáng bóng bằng chất liệu kính Ceramic cao cấp loại A, cho khả năng chịu nhiệt và chịu lực cực tốt, dùng bền, dễ lau chùi
Bếp từ có công suất nấu 2000W nấu ăn cực nhanh, tiết kiệm thời gian, hiệu quả cho gia đình bận rộn
Bảng điều khiển nút nhấn điện tử hiện đại, dễ dùng, thao tác đơn giản với cả người dùng mới. 6 chế độ nấu tự động tiện dụng",/opt/Upload/KCS//input/mobile_images/2023/12/25/808/Bếp Từ Bluestone Icb-6609.jpg,1087200,1195920.0,10872,Giá trị đơn hàng > 30 triệu,1111000,1222100.0,22220,Giá trị đơn hàng từ 15-30 triệu,1205300.0,1325830.0,67496.80000000002,12655.65,4218.550000000001,1087200,1195920.0,10872
509330,Bếp từ,M&EBT100003,Bếp Từ Đôi Bluestone Icb-6833,"Bếp từ cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Tổng công suất bếp: 4000W

Cuộn từ bằng đồng đường kính lớn

Mặt kính Schott Ceran của Đức

Bảng điều khiển cảm ứng hiện đại

Chức năng tự ngắt khi bếp nóng quá tải

Công nghệ Inverter giúp tiết kiệm điện năng",/opt/Upload/KCS//input/mobile_images/2023/12/25/173/Bếp Từ Đôi Bluestone Icb-6833.jpg,9205300,10125830.0,92053,Giá trị đơn hàng > 30 triệu,9406900,10347590.0,188138,Giá trị đơn hàng từ 15-30 triệu,10204800.0,11225280.0,571468.8000000002,107150.4,35716.80000000001,9205300,10125830.0,92053
509328,Bếp từ,M&EBT100001,Bếp Từ Đôi Bluestone Icb-6818,"Bếp từ cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Loại bếp: Bếp từ đôi - phù hợp với các loại nồi chảo có đáy nhiễm từ, đun nấu cực nhanh và an toàn cho người sử dụng, không trực tiếp tỏa ra nhiệt khi đun nấu, không gây khó chịu mỗi khi đứng bếp. 
Công suất tối đa 4000 W với 9 mức điều chỉnh công suất nấu tiện lợi. 
Kích thước bếp: 730x430x64 mm. 
Kích thước lắp đặt âm: 695x395x100 mm. 
Kích thước vùng nấu Ø180mm/2000 W - Ø180mm/2000 W. 
Mặt bếp bằng kính Ceramic cao cấp, chống mài mòn và chịu lực cao. 
Bảng điều khiển cảm ứng hiện đại và sang trọng. 
Tiện ích: Hẹn giờ nấu 
Chế độ an toàn: Khóa trẻ em, tự động nhận diện nồi chảo và bảo vệ quá nhiệt.",/opt/Upload/KCS//input/mobile_images/2023/12/25/246/Bếp-Từ-Đôi-Bluestone-Icb-6818.jpg,6903700,7594070.000000001,69037,Giá trị đơn hàng > 30 triệu,7054900,7760390.000000001,141098,Giá trị đơn hàng từ 15-30 triệu,7653300.0,8418630.0,428584.8,80359.65,26786.55,6903700,7594070.000000001,69037
509336,Bếp từ,M&EBT100009,Bếp Hỗn Hợp Quang Từ Bluestone Icb- 6917,"Bếp từ cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Loại bếp: Bếp từ đôi - Phù hợp với các loại nồi chảo có đáy nhiễm từ, đun nấu cực nhanh và an toàn cho người sử dụng, không trực tiếp tỏa ra nhiệt khi đun nấu, không gây khó chịu mỗi khi đứng bếp. 
Công suất tối đa 3400 W với khả năng chia sẻ công suất 2 chiều. 8 mức điều chỉnh công suất nấu tiện lợi. 
Kích thước vùng nấu: 180 mm/2000W - 180 mm/2600W.
Kích thước bếp: 735x435x80 mm. 
Kích thước lắp đặt âm: 670x400x100 mm. 
Mặt kính Ceramic vát 4 cạnh, chịu lực và chịu nhiệt tốt, chống trầy xước và dễ vệ sinh. 
Bảng điều khiển cảm ứng trượt hiện đại, độc lập cho từng vùng nấu, giúp người dùng dễ dàng sử dụng. 
Tiện ích: Hẹn giờ nấu lên đến 480 phút. 
Chế độ an toàn: Khóa trẻ em, tự động nhận diện nồi nấu, cảnh báo nhiệt dư và bảo vệ quá nhiệt.",/opt/Upload/KCS//input/mobile_images/2023/12/25/216/Bếp Hỗn Hợp Quang Từ Bluestone Icb- 6917.png,11506900,12657590.0,115069,Giá trị đơn hàng > 50 triệu,11758900,12934790.0,235178,Giá trị đơn hàng từ 30-50 triệu,12756300.0,14031930.0,714352.8000000002,133941.15,44647.05000000001,11506900,12657590.0,115069
509337,Bếp từ,M&EBT100010,Bếp Từ Đôi Bluestone Icb-6948,"Bếp từ cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Bếp từ đôi Bluestone ICB-6948 được nhập khẩu nguyên chiếc tại Malaysia với 2 vùng nấu từ. Công suất 5200W lớn cùng với đó có 8 mức điều chỉnh công suất cho người dùng dễ dàng chọn lựa phù hợp với từng loại thực phẩm. Mặt kính SchottCeran vát 4 cạnh chịu được nhiệt độ lên đến 750 độ c, chống trầy xước, chịu lực tốt có độ bền cao. Mâm từ được làm bằng đồng nguyên chất siêu bền,",/opt/Upload/KCS//input/mobile_images/2023/12/25/230/Bếp Từ Đôi Bluestone Icb-6948.png,17156800,18872480.0,171568,Giá trị đơn hàng > 50 triệu,17532500,19285750.0,350650,Giá trị đơn hàng từ 30-50 triệu,19019600.0,20921560.0,1065097.6,199705.8,66568.60000000002,17156800,18872480.0,171568
509335,Bếp từ,M&EBT100008,Bếp Hỗn Hợp Quang Từ Bluestone Icb-6911,"Bếp từ cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Bếp hỗn hợp quang tư BlueStone ICB-6911 sở hữu thiết kế sang trọng, hiện đại mang đến cho gia đình bạn một gian bếp đẳng cấp. Mặt bếp Ceramic vát 4 cạnh chịu nhiệt, chịu lực siêu việt, bảng điều khiển cảm ứng trượt hiện đại, độc lập cho 2 vùng nấu, phù hợp với mọi loại nồi chảo, tích hợp các tính năng khóa trẻ em, tự động ngắt điện khi quá nhiệt giúp tiết kiệm điện năng, nhanh chóng và đảm bảo an toàn tối đa. Bếp còn được trang bị thiết bị gia nhiệt EGO uy tín giúp gia nhiệt tốt hơn.",/opt/Upload/KCS//input/mobile_images/2023/12/25/676/Bếp Hỗn Hợp Quang Từ Bluestone Icb-6911.jpg,10739700,11813670.0,107397,Giá trị đơn hàng > 50 triệu,10974900,12072390.0,219498,Giá trị đơn hàng từ 30-50 triệu,11905800.0,13096380.0,666724.8000000002,125010.9,41670.30000000001,10739700,11813670.0,107397
509334,Bếp từ,M&EBT100007,Bếp Từ Đôi Bluestone Icb-6845,"Bếp từ cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Bếp từ ba Bluestone ICB-6845 với 7100W việc nội trợ trở lên đơn giản nhất, có chế độ Booster siêu nhanh rút ngắn thời gian nấu từ 15 phút xuống còn 5 phút. Chế độ hẹn giờ nấu thông minh đang siêu kích cầu giá tốt tốt hơn bất cứ nơi nào",/opt/Upload/KCS//input/mobile_images/2023/12/25/256/Bếp Từ Đôi Bluestone Icb-6845.png,12274100,13501510.0,122741,Giá trị đơn hàng > 50 triệu,12542900,13797190.0,250858,Giá trị đơn hàng từ 30-50 triệu,13606800.0,14967480.0,761980.8000000002,142871.4,47623.80000000001,12274100,13501510.0,122741
509329,Bếp từ,M&EBT100002,Bếp Hỗn Hợp Quang Từ Bluestone Icb- 6821,"Bếp từ cao cấp, hàng chính hãng. Bảo hành toàn quốc bởi AIOSMART","Bếp từ hoạt động dựa trên nguyên lý chia sẻ công suất 2 chiều, giúp nấu ăn hiệu quả và tăng tuổi thọ bếp. Được cài đặt 9 mức nhiệt linh hoạt dễ dàng điều chỉnh phù hợp với từng công thức, nguyên liệu nấu khác nhau.
",/opt/Upload/KCS//input/mobile_images/2023/12/25/971/Bếp-Hỗn-Hợp-Quang-Từ-Bluestone-Icb-6821.jpg,7287300,8016030.000000001,72873,Giá trị đơn hàng > 30 triệu,7446900,8191590.000000001,148938,Giá trị đơn hàng từ 15-30 triệu,8078500.0,8886350.0,452396.0,84824.25,28274.75,7287300,8016030.000000001,72873
